community,% in Poverty,% in Extreme Poverty,Child Poverty Rate,% Female,% Male,% Asian,% Black,% Hispanic,% White,% Aged 0-4,% Aged 5-17,% Aged 18-24,% Aged 25-64,% Aged 65+,Total Pop.,Change in Pop. (2018 to 2019),Overall Unemp.,Unemp. 16-19 yr. olds,Unemp. 20-24 yr. olds,% no HS Diploma,% HS or GED,Some College,% Associates Deg.,% Bachelors Deg.,Forclosure,Homeownership Rate,Rent Burden,SNAP Enrollment Rate,% Cash Assist.,Uninsured Rate,Avg. Med. Household Income (2020 Dollars)
CHICAGO OVERALL,17.3,8.0,-0.4,51.4,48.6,6.8,28.8,28.6,33.3,6.1,14.3,9.8,57.1,12.7,2699347.0,0.0,8.1,33.4,16.4,14.1,22.0,17.2,5.7,41.1,1898.0,45.3,47.4,17.5,3.1,10.7,62097.0
ALBANY PARK,13.4,5.0,-0.7,49.4,50.6,12.6,5.1,45.9,33.7,5.8,16.4,9.8,58.5,9.5,49454.5,0.0,6.6,27.0,16.6,19.2,23.5,11.5,5.6,40.2,17.0,41.1,41.1,16.0,2.2,19.4,74054.1
ARCHER HEIGHTS,11.0,2.1,-0.6,45.4,54.6,4.5,0.8,79.9,14.7,6.7,20.3,9.3,50.4,13.3,13650.2,0.0,8.5,32.4,22.7,29.4,41.7,14.2,4.2,10.5,7.0,64.5,55.4,18.1,1.9,13.1,52218.0
ARMOUR SQUARE,28,8.2,-1.4,54,46,70.8,8.6,5.7,14.1,5.2,12.6,7.6,49.8,24.8,13352.6,0,6.9,40.1,48,33.4,25,9.1,3.8,28.6,-,38.9,45.3,27.1,4.1,9,50823.7
ASHBURN,13.5,5.4,-0.6,51.3,48.7,0.8,45.1,42.7,10.0,6.1,19.7,10.2,51.8,12.2,43074.3,0.0,10.5,39.8,24.4,17.8,30.7,21.8,9.5,20.2,65.0,84.7,61.5,13.2,4.0,11.8,63747.5
AUBURN GRESHAM,25.1,13.6,1.8,53.4,46.6,0.3,94.6,3.0,1.0,6.3,18.2,8.7,48.9,17.8,46747.8,0.0,16.5,48.5,27.8,15.0,31.3,29.1,8.7,15.9,81.0,45.3,57.9,35.8,4.1,9.1,46225.1
AUSTIN,26.2,10.7,1.6,53.3,46.7,0.3,75.6,17.2,5.3,6.8,17.4,9.4,51.2,15.2,95243.4,0.0,13.4,27.9,23.1,18.1,35.6,23.6,7.6,15.0,92.0,41.7,65.4,35.5,5.3,11.9,53918.2
AVALON PARK,20.1,5.6,-1.9,56.3,43.7,1.3,94.7,0.0,0.8,6.2,11.5,10.0,47.7,24.6,9523.8,0.0,15.7,89.4,34.8,9.7,27.8,25.3,5.3,32.0,23.0,66.6,63.7,15.9,4.5,9.9,48105.3
AVONDALE,13.4,3.7,-2.0,50.8,49.2,4.5,2.2,53.9,35.6,5.6,13.8,9.0,62.6,9.0,37360.0,0.0,5.0,18.5,5.6,15.7,23.1,14.2,6.2,40.8,9.0,42.5,39.5,11.8,3.1,17.4,77917.4
BELMONT CRAGIN,15.1,4.3,0.3,50.3,49.7,2.2,2.5,79.8,14.3,6.5,19.7,9.7,53.3,10.8,78851.4,0.0,5.1,21.4,10.3,31.6,30.6,17.6,6.1,14.1,26.0,53.3,54.2,19.7,3.9,17.4,60818.9
BEVERLY,6.3,4.0,0.2,53.2,46.8,1.0,33.2,5.9,56.0,6.4,16.4,6.8,52.8,17.7,19830.3,0.0,6.0,18.0,7.7,2.5,13.7,17.7,9.0,57.1,24.0,84.3,25.6,3.1,1.6,2.8,81275.0
BRIDGEPORT,14.6,6.0,-5.0,49.8,50.2,40.4,2.4,20.8,35.3,5.0,12.8,8.2,59.0,15.1,32830.2,0.0,6.9,26.2,14.2,19.2,26.0,14.3,4.0,36.6,9.0,48.8,40.6,12.0,4.0,10.6,52596.6
BRIGHTON PARK,20.4,9.4,-3.0,48.9,51.1,10.5,1.7,79.6,7.4,7.1,21.0,11.0,51.6,9.2,42849.4,0.0,10.7,25.0,13.2,34.0,37.5,12.7,4.5,11.3,15.0,50.1,46.5,24.2,4.8,19.1,48382.1
BURNSIDE,11.7,5.6,7.6,50.3,49.7,-,88.9,7.2,2.5,0.9,11.4,8.8,51,28,2158.2,0.1,15.9,100,11.8,14.2,36,22.5,5.6,21.8,5,55.6,44.8,26.8,0.9,18.6,43226.6
CALUMET HEIGHTS,14.5,5.5,-3.7,57.8,42.2,0.1,93.4,4.4,0.9,3.1,11.6,7.3,50.1,27.9,12343.0,0.0,7.1,57.1,10.7,5.7,23.4,27.7,7.7,35.5,35.0,72.4,55.8,16.1,2.1,8.1,43664.1
