community,"% in poverty, 2020","% in extreme poverty, 2020","% Female, 2020","% Male, 2020","% Asian, 2020","% Black, 2020","% Latino, 2020","% White, 2020","% of 18 to 24 years old, 2020","% of 25 to 64 years old, 2020","% of 65 years old or more, 2020","Total population, 2020",Overall unemployment rate,Youth unemployment rate for 20-24 yr. olds,% with no high school diploma,% with high school diploma/GED,% with Bachelor's degree and higher,Uninsured rate,Average of median household income in 2020 dollars
CHICAGO OVERALL,17.3,8.0,51.4,48.6,6.8,28.8,28.6,33.3,9.8,57.1,12.7,2699347.0,8.1,16.4,14.1,22.0,41.1,10.7,62097.0
ALBANY PARK,13.4,5.0,49.4,50.6,12.6,5.1,45.9,33.7,9.8,58.5,9.5,49454.5,6.6,16.6,19.2,23.5,40.2,19.4,74054.1
ARCHER HEIGHTS,11.0,2.1,45.4,54.6,4.5,0.8,79.9,14.7,9.3,50.4,13.3,13650.2,8.5,22.7,29.4,41.7,10.5,13.1,52218.0
ARMOUR SQUARE,28,8.2,54,46,70.8,8.6,5.7,14.1,7.6,49.8,24.8,13352.6,6.9,48,33.4,25,28.6,9,50823.7
ASHBURN,13.5,5.4,51.3,48.7,0.8,45.1,42.7,10.0,10.2,51.8,12.2,43074.3,10.5,24.4,17.8,30.7,20.2,11.8,63747.5
AUBURN GRESHAM,25.1,13.6,53.4,46.6,0.3,94.6,3.0,1.0,8.7,48.9,17.8,46747.8,16.5,27.8,15.0,31.3,15.9,9.1,46225.1
AUSTIN,26.2,10.7,53.3,46.7,0.3,75.6,17.2,5.3,9.4,51.2,15.2,95243.4,13.4,23.1,18.1,35.6,15.0,11.9,53918.2
AVALON PARK,20.1,5.6,56.3,43.7,1.3,94.7,0.0,0.8,10.0,47.7,24.6,9523.8,15.7,34.8,9.7,27.8,32.0,9.9,48105.3
AVONDALE,13.4,3.7,50.8,49.2,4.5,2.2,53.9,35.6,9.0,62.6,9.0,37360.0,5.0,5.6,15.7,23.1,40.8,17.4,77917.4
BELMONT CRAGIN,15.1,4.3,50.3,49.7,2.2,2.5,79.8,14.3,9.7,53.3,10.8,78851.4,5.1,10.3,31.6,30.6,14.1,17.4,60818.9
