,beat_num,tot_pop,white_nothisp,black_nothisp,tot_hisp,year
1,111,259,173,42,10,1990
2,112,138,111,12,6,1990
3,113,407,259,87,56,1990
4,114,4991,4062,624,125,1990
5,121,1801,1459,162,113,1990
6,122,383,235,85,56,1990
7,123,5563,3637,1419,274,1990
8,124,0,0,0,0,1990
9,131,5059,340,4331,38,1990
10,132,1754,152,1590,2,1990
11,133,9190,428,8416,54,1990
12,211,8241,1224,6215,141,1990
13,212,13389,42,13251,78,1990
14,213,11867,27,11806,6,1990
15,214,6554,18,6458,67,1990
16,215,8304,1,8278,18,1990
17,221,6579,53,6456,42,1990
18,222,14838,3466,10651,240,1990
19,223,7053,5,6968,29,1990
20,224,8062,21,7982,53,1990
21,225,6145,15,6056,2,1990
22,231,3021,6,2997,4,1990
23,232,4614,0,4579,36,1990
24,233,8403,1746,6296,104,1990
25,234,11910,5779,4900,230,1990
26,235,9875,5989,2371,281,1990
27,311,4675,56,4600,19,1990
28,312,6025,23,5941,60,1990
29,313,6562,210,6296,7,1990
30,314,6881,408,6377,38,1990
31,321,9647,7,9557,71,1990
32,322,5619,11,5592,16,1990
33,323,8997,30,8913,53,1990
34,324,9224,40,9110,44,1990
35,331,11279,1359,9614,134,1990
36,332,7939,169,7707,43,1990
37,333,5363,126,5183,54,1990
38,334,9774,491,9082,146,1990
39,411,7215,4,7161,17,1990
40,412,13294,181,13055,48,1990
41,413,12492,281,11979,176,1990
42,414,13401,172,13124,44,1990
43,421,12311,177,11899,218,1990
44,422,8142,381,6848,895,1990
45,423,17869,1382,10270,6156,1990
46,424,11213,847,3633,6679,1990
47,431,12818,1729,8552,2524,1990
48,432,15826,8607,41,7119,1990
49,433,14838,12480,76,2164,1990
50,434,4443,561,1440,2441,1990
51,511,17569,212,17290,2,1990
52,512,11112,93,10866,103,1990
53,513,10573,149,10316,77,1990
54,522,10893,43,10776,64,1990
55,523,13987,225,13739,25,1990
56,524,11317,141,11026,98,1990
57,531,6000,1105,4205,684,1990
58,532,9316,351,7353,1567,1990
59,533,9628,108,9325,180,1990
60,611,11014,116,10867,30,1990
61,612,11029,9,10958,52,1990
62,613,9995,66,9908,11,1990
63,614,12162,632,11431,46,1990
64,621,9141,20,9110,12,1990
65,622,4479,57,4372,32,1990
66,623,6749,47,6676,22,1990
67,624,9514,135,9339,33,1990
68,631,10332,112,10140,57,1990
69,632,10807,67,10671,65,1990
70,633,8155,67,7945,120,1990
71,634,5535,14,5480,33,1990
72,711,8742,80,8631,0,1990
73,712,8657,24,8605,14,1990
74,713,9069,71,8893,29,1990
75,714,5080,58,4989,21,1990
76,715,6463,54,6312,92,1990
77,722,5669,8,5565,38,1990
78,723,6978,3,6938,24,1990
79,724,6179,21,6033,78,1990
80,725,7528,8,7503,1,1990
81,726,7552,35,7499,1,1990
82,731,5938,52,5841,30,1990
83,732,6287,44,6150,58,1990
84,733,7404,6,7269,76,1990
85,734,6504,383,6046,65,1990
86,735,8373,85,8262,26,1990
87,811,21076,20118,0,887,1990
88,812,14819,13820,0,883,1990
89,813,17009,15398,0,1455,1990
90,814,11013,5863,4135,939,1990
91,815,11591,9925,87,1284,1990
92,821,6626,5481,0,1085,1990
93,822,13347,10577,20,2635,1990
94,823,17369,10872,327,5877,1990
95,824,11918,4958,1387,5484,1990
96,825,8784,1987,3770,2762,1990
97,831,12456,7446,1179,3460,1990
98,832,8934,1824,6117,846,1990
99,833,14756,12941,102,1561,1990
100,834,20757,19473,118,1021,1990
101,835,16103,10260,4440,1187,1990
102,911,9413,3396,736,4889,1990
103,912,12635,7324,10,4985,1990
104,913,13652,7697,6,4390,1990
105,914,14341,4675,445,1478,1990
106,915,11700,7055,1486,2054,1990
107,921,10245,6150,0,3830,1990
108,922,11395,8070,5,3233,1990
109,923,9971,5974,97,3860,1990
110,924,7844,1355,1,6425,1990
111,925,7424,4113,2445,855,1990
112,931,10274,2507,877,6860,1990
113,932,10962,941,8283,1704,1990
114,933,8862,1240,3206,4317,1990
115,934,9256,112,8637,480,1990
116,935,4656,722,3712,221,1990
117,1011,8009,29,7944,30,1990
118,1012,7257,15,7224,13,1990
119,1013,11970,499,2851,8608,1990
120,1014,7521,110,7337,65,1990
121,1021,6282,9,6225,0,1990
122,1022,7746,173,6428,1131,1990
123,1023,7115,292,2533,4270,1990
124,1024,13858,354,2556,10881,1990
125,1031,20127,1760,3,18237,1990
126,1032,12007,729,3,11256,1990
127,1033,13635,854,1699,11046,1990
128,1034,15036,2544,1812,10609,1990
129,1111,10271,768,7277,2015,1990
130,1112,9472,224,8086,1140,1990
131,1113,5499,14,5469,16,1990
132,1114,2982,10,2937,31,1990
133,1115,4766,5,4740,4,1990
134,1121,8645,224,7056,1243,1990
135,1122,6653,97,6526,11,1990
